MP,TOT_MP,L1,L2,H,AREA,VOL,#PER_LC,TC,CAST,INT
4220940RI/,64,1200,800,645,0.96,0.6192,1,0.0079365079365079,1,0
THY000101GI/,60,1200,800,600,0.96,0.576,6,0.0055803571428571,0,0
T221TM0140240I0,59,1200,815,870,0.978,0.85086,6,0.0571428571428571,1,0
THY0041GI/,58,1200,800,645,0.96,0.6192,6,0.0079365079365079,0,0
THY0004GI/,54,1200,800,700,0.96,0.672,6,0.036101083032491,0,0
THY000501GI/,54,1200,800,935,0.96,0.8976,6,0.0198412698412698,0,0
0.040.0178.5,40,1200,800,930,0.96,0.8928,6,0.0759878419452888,0,0
A14.02.02002RI/.,40,1200,800,810,0.96,0.7776,2,0.0178571428571429,0,0
A14.02.02003RI/,40,1200,800,360,0.96,0.3456,6,0.0266666666666667,0,0
0.040.0178.5I/,40,1200,800,800,0.96,0.768,6,0.0178571428571429,1,0
10163892I/,37,1200,800,810,0.96,0.7776,6,0.0119047619047619,1,0
4369172H02I01.1,36,1200,800,810,0.96,0.7776,6,0.0285714285714286,1,0
114.06.005.62I/,34,1200,800,810,0.96,0.7776,4,0.0730353491089687,0,0
10163888I/,33,1200,800,810,0.96,0.7776,4,0.0055803571428571,1,0
M902103050020I0,33,1200,800,1040,0.96,0.9984,4,0.0446428571428571,1,0
THY000601GI/,27,1200,800,1224,0.96,1.17504,6,0.0571428571428571,0,0
2398.201.002I/,27,1200,800,900,0.96,0.864,4,0.0495687518588282,1,0
4371191H01I1,27,1200,800,810,0.96,0.7776,4,0.0680272108843538,1,0
114.04.037611I/,20,1200,800,600,0.96,0.576,2,0.145454545454545,0,0
10212497IC/2,20,1200,800,1000,0.96,0.96,6,0.0495687518588282,0,0
113.01.014.61I/,20,1200,800,810,0.96,0.7776,6,0.0714285714285714,1,0
2785.003.002I0,20,1200,800,1224,0.96,1.17504,6,0.106609808102345,1,0
10284782I/,18,1200,800,360,0.96,0.3456,6,0.0248015873015873,0,0
1430.012.098I1,17,1200,800,600,0.96,0.576,6,0.0090415913200723,0,0
2720.420.002I/,17,1200,800,810,0.96,0.7776,6,0.0248015873015873,1,0
193.01.005.61I/,14,1200,800,1000,0.96,0.96,6,0.0183150183150183,1,0
M416150050060I0,12,1200,800,360,0.96,0.3456,6,0.0145772594752187,1,0
176.06.067.64I/,10,1200,800,810,0.96,0.7776,6,0.0495687518588282,0,0
113.04.033613I/,9,1200,800,360,0.96,0.3456,6,0.0119047619047619,0,0
4217722RI/,7,1200,800,700,0.96,0.672,4,0.106609808102345,0,0
2430.007.002I/,6,1200,800,810,0.96,0.7776,6,0.12531328320802,1,0
970.06.015.64I/,4,1200,800,675,0.96,0.648,6,0.0680272108843538,0,0
4365029H04I4,2,1200,800,810,0.96,0.7776,2,0.0730353491089687,1,0
2817.010.002I0,1,1200,800,600,0.96,0.576,6,0.119047619047619,1,0
755.01.065.61I/,1,1200,800,750,0.96,0.72,6,0.036101083032491,1,0
